Category,Course Code,Course Name,Credits,URL
Wellness,APPH1040,Scientific Foundations of Health,2,https://catalog.gatech.edu/search/?P=APPH%201040
Wellness,orAPPH1050,The Science of Physical Activity and Health,2,https://catalog.gatech.edu/search/?P=APPH%201050
Wellness,orAPPH1060,Flourishing: Strategies for Well-being and Resilience,2,https://catalog.gatech.edu/search/?P=APPH%201060
Core A - Essential Skills,ENGL1101,English Composition I,3,https://catalog.gatech.edu/search/?P=ENGL%201101
Core A - Essential Skills,ENGL1102,English Composition II,3,https://catalog.gatech.edu/search/?P=ENGL%201102
Core A - Essential Skills,MATH1712,Survey of Calculus,4,https://catalog.gatech.edu/search/?P=MATH%201712
Core A - Essential Skills,orMATH1552,Integral Calculus,4,https://catalog.gatech.edu/search/?P=MATH%201552
Core B - Institutional Options,CS1315,Introduction to Media Computation,3,https://catalog.gatech.edu/search/?P=CS%201315
Core C - Humanities,Modern Languages,6
Core D - Science, Math, & Technology,Lab Science,4
Core D - Science, Math, & Technology,Lab Science,4
Core D - Science, Math, & Technology,MATH1711,Finite Mathematics,4,https://catalog.gatech.edu/search/?P=MATH%201711
Core D - Science, Math, & Technology,orMATH1551&MATH1553,Differential Calculusand Introduction to Linear Algebra,4,https://catalog.gatech.edu/search/?P=MATH%201551
Core E - Social Sciences,Select one of the following:,3
Core E - Social Sciences,HIST2111,The United States to 1877,3,https://catalog.gatech.edu/search/?P=HIST%202111
Core E - Social Sciences,HIST2112,The United States since 1877,3,https://catalog.gatech.edu/search/?P=HIST%202112
Core E - Social Sciences,INTA1200,American Government in Comparative Perspective,3,https://catalog.gatech.edu/search/?P=INTA%201200
Core E - Social Sciences,POL1101,Government of the United States,3,https://catalog.gatech.edu/search/?P=POL%201101
Core E - Social Sciences,PUBP3000,American Constitutional Issues,3,https://catalog.gatech.edu/search/?P=PUBP%203000
Core E - Social Sciences,Select one of the following:,3
Core E - Social Sciences,ECON2100,Economic Analysis and Policy Problems,3,https://catalog.gatech.edu/search/?P=ECON%202100
Core E - Social Sciences,ECON2101,The Global Economy,3,https://catalog.gatech.edu/search/?P=ECON%202101
Core E - Social Sciences,ECON2105,Principles of Macroeconomics,3,https://catalog.gatech.edu/search/?P=ECON%202105
Core E - Social Sciences,ECON2106,Principles of Microeconomics,3,https://catalog.gatech.edu/search/?P=ECON%202106
Core E - Social Sciences,Select one of the following:,3
Core E - Social Sciences,HTS1031,Europe Since the Renaissance,3,https://catalog.gatech.edu/search/?P=HTS%201031
Core E - Social Sciences,HTS2036,Revolutionary Europe: 1789-1914,3,https://catalog.gatech.edu/search/?P=HTS%202036
Core E - Social Sciences,HTS2037,Twentieth Century Europe: 1914 to Present,3,https://catalog.gatech.edu/search/?P=HTS%202037
