Category,Course Code,Course Name,Credits
Wellness Requirement,APPH1040,Scientific Foundations of Health,2
Wellness Requirement,orAPPH1050,The Science of Physical Activity and Health,2
Wellness Requirement,orAPPH1060,Flourishing: Strategies for Well-being and Resilience,2
Institutional Priority,CS1315,Introduction to Media Computation,3
Mathematics and Quantitative Skills,MATH1712,Survey of Calculus,4
Mathematics and Quantitative Skills,orMATH1552,Integral Calculus,4
Political Science and U.S. History,HIST2111,The United States to 1877,3
Political Science and U.S. History,orHIST2112,The United States since 1877,3
Political Science and U.S. History,orINTA1200,American Government in Comparative Perspective,3
Political Science and U.S. History,orPOL1101,Government of the United States,3
Political Science and U.S. History,orPUBP3000,American Constitutional Issues,3
"Arts, Humanities, and Ethics",Modern Language,6
Communicating in Writing,ENGL1101,English Composition I,3
Communicating in Writing,ENGL1102,English Composition II,3
"Technology, Mathematics, and Sciences",Lab Science,4
"Technology, Mathematics, and Sciences",Lab Science,4
"Technology, Mathematics, and Sciences",MATH1711,Finite Mathematics,4
"Technology, Mathematics, and Sciences",orMATH1551&MATH1553,Differential Calculusand Introduction to Linear Algebra,4
Social Sciences,INTA2040,"Science, Technology, and International Affairs",3
Social Sciences,INTA3301,International Political Economy,3
Social Sciences,Select one of the following:,SELECT,3
Social Sciences,HTS1031,Europe Since the Renaissance,3
Social Sciences,HTS2036,Revolutionary Europe: 1789-1914,3
Social Sciences,HTS2037,Twentieth Century Europe: 1914 to Present,3
Social Sciences,HTS2040,History of Islamic Societies,3
Social Sciences,HTS2041,History of the Modern Middle East,3
Social Sciences,HTS2061,Traditional Asia and Its Legacy,3
Social Sciences,HTS2062,Asia in the Modern World,3
Social Sciences,HTS3028,"Ancient Greece: Gods, Heroes, and RuinS",3
Social Sciences,HTS3029,Ancient Rome: From Greatness to Ruins,3
Social Sciences,HTS3030,Medieval Europe: 350 to 1400,3
Social Sciences,HTS3031,European Labor History,3
Social Sciences,HTS3032,Modern European Intellectual History,3
Social Sciences,HTS3033,Medieval England,3
Social Sciences,HTS3035,Britain from 1815-1914,3
Social Sciences,HTS3036,Britain Since 1914,3
Social Sciences,HTS3038,The French Revolution,3
Social Sciences,HTS3039,Modern France,3
Social Sciences,HTS3041,Modern Spain,3
Social Sciences,HTS3043,Modern Germany,3
Social Sciences,HTS3045,Nazi Germany and the Holocaust,3
Social Sciences,HTS3046,"Science, Politics, and Culture in Nazi Germany",3
Social Sciences,HTS3051,Women and the Politics of Gender in the Middle East,3
Social Sciences,HTS3061,Modern China,3
Social Sciences,HTS3062,Modern Japan,3
Social Sciences,HTS3063,Outposts of Empire: Comparative History of British,3
Social Sciences,HTS3065,History of Global Societies,3
Social Sciences,HTS3067,Revolutionary Movements in the Modern World,3
Social Sciences,HTS3069,Modern Cuba,3
Field of Study,ECON2105,Principles of Macroeconomics,3
Field of Study,ECON2106,Principles of Microeconomics,3
Field of Study,ECON2250,Statistics for Economists,3
Field of Study,INTA1110,Introduction to International Relations,3
Field of Study,Modern Language,6
Major Requirements,ECON3110,Advanced Microeconomic Analysis,3
Major Requirements,ECON3120,Advanced Macroeconomic Analysis,3
Major Requirements,ECON3161,Econometric Analysis,3
Major Requirements,ECON4351,International Financial Economics,3
Major Requirements,orECON4352,International Trade Theory and Policy,3
Major Requirements,INTA2001,Careers in International Affairs,1
Major Requirements,INTA3110,U.S. Foreign Policy,3
Major Requirements,INTA3203,Comparative Politics,3
Major Requirements,INTA4740,Seminar in Political Economy,3
Major Requirements,orECON4740,Seminar in Political Economy,3
EIA Electives,Any ECON,SELECT,6
EIA Electives,Any INTA,SELECT,6
EIA Electives,Any ECON or INTA,SELECT,3
Non-Major Cluster,Non-Major Cluster,9
Technical Requirement,Select one of the following:,SELECT,3
Technical Requirement,BMED2400,Introduction to Bioengineering Statistics,3
Technical Requirement,CP4510,Fundamentals of Geographic Information Systems,3
Technical Requirement,CS1301,Introduction to Computing,3
Technical Requirement,CS1316,Representing Structure and Behavior,3
Technical Requirement,CS2316,Data Manipulation for Science and Industry,3
Technical Requirement,CS1331,Introduction to Object Oriented Programming,3
Technical Requirement,EAS3110,"Energy, Environment, and Society",3
Technical Requirement,EAS4480,Environmental Data Analysis,3
Technical Requirement,ID3103,Industrial Design Computing I,3
Technical Requirement,ME2016,Computer Applications,3
Technical Requirement,MGT2210,Information Systems and Digital Transformation,3
Technical Requirement,MGT4051,Decision Support and Expert Systems,3
Technical Requirement,MGT4052,Systems Analysis and Design,3
Free Electives,Free Electives,SELECT,10
Free Electives,Total Credit Hours,122
