Category,Course Code,Course Name,Credits
Wellness Requirement,APPH1040,Scientific Foundations of Health,2
Wellness Requirement,orAPPH1050,The Science of Physical Activity and Health,2
Wellness Requirement,orAPPH1060,Flourishing: Strategies for Well-being and Resilience,2
Institutional Priority,CS1301,Introduction to Computing,3
Mathematics and Quantitative Skills,MATH1552,Integral Calculus,4
Political Science and U.S. History,HIST2111,The United States to 1877,3
Political Science and U.S. History,orHIST2112,The United States since 1877,3
Political Science and U.S. History,orINTA1200,American Government in Comparative Perspective,3
Political Science and U.S. History,orPOL1101,Government of the United States,3
Political Science and U.S. History,orPUBP3000,American Constitutional Issues,3
"Arts, Humanities, and Ethics",Any HUM,SELECT,6
Communicating in Writing,ENGL1101,English Composition I,3
Communicating in Writing,ENGL1102,English Composition II,3
"Technology, Mathematics, and Sciences",PHYS2211,Introductory Physics I,4
"Technology, Mathematics, and Sciences",PHYS2212,Introductory Physics II,4
"Technology, Mathematics, and Sciences",MATH1551,Differential Calculus,2
"Technology, Mathematics, and Sciences",MATH1553,Introduction to Linear Algebra,2
Social Sciences,ECON2106,Principles of Microeconomics,3
Social Sciences,Any SS,SELECT,6
Field of Study,CHEM1211K,Chemical Principles I,4
Field of Study,CHEM1212K,Chemical Principles II,4
Field of Study,CHEM2380,Synthesis Laboratory I,2
Field of Study,MATH2551,Multivariable Calculus,4
Field of Study,BIOS1107&1107L,Biological Principlesand Biological Principles Laboratory,4
Major Requirements,CHEM2216&2216L,Quantitative Chemical Analysisand Quantitative Chemical Analysis Laboratory,4
Major Requirements,orCHEM2214,Quantitative Chemical Analysis,4
Major Requirements,CHEM2311,Organic Chemistry I,3
Major Requirements,CHEM2312,Organic Chemistry II,3
Major Requirements,orCHEM2313,Organic and Bioorganic Chemistry,3
Major Requirements,CHEM2601,Professional Skills for Chemists and Biochemists,1
Major Requirements,CHEM3111,Inorganic Chemistry,3
Major Requirements,CHEM3216&3216L,Analytical Chemistry Lectureand Analytical Chemistry Laboratory,5
Major Requirements,orCHEM3211,Analytical Chemistry,5
Major Requirements,CHEM3380,Synthesis Laboratory II,3
Major Requirements,CHEM3411,Physical Chemistry I,3
Major Requirements,CHEM3412,Physical Chemistry II,3
Major Requirements,CHEM3481,Physical Chemistry Laboratory I,2
Additional Major Required,Research Experience,2
Additional Major Required,CHEM4695,Undergraduate Internship (Undergraduate Internship for Academic Credit),
Additional Major Required,CHEM4699,Undergraduate Research,
Additional Major Required,CHEM3511,Survey of Biochemistry,3
Additional Major Required,orCHEM4511,Biochemistry I,3
Additional Major Required,orCHEM4512,Biochemistry II,3
Additional Major Required,orCHEM3521,Biochemistry I,3
Additional Major Required,orCHEM3522,Biochemistry II,3
Additional Major Required,Upper level Chemistry Electives,3
Business Option,ACCT2101,Accounting I: Financial Accounting,3
Business Option,orMGT3000,Financial and Managerial Accounting,3
Business Option,MGT3101,Organizational Behavior,3
Business Option,orMGT3150,Principles of Management,3
Business Option,orPSYC2220,Industrial/Organizational Psychology,3
Business Option,Select two of the following:,SELECT,6
Business Option,MGT3062,Financial Management,
Business Option,MGT3078,Finance and Investments,
Business Option,MGT3300,Marketing Management I,
Business Option,MGT3660,International Business,
Business Option,MGT4015,Advanced Managerial Accounting,
Business Option,MGT4026,Financial Reporting and Analysis I,
Business Option,MGT4028,Financial Analysis and Reporting of Technology Firms,
Business Option,MGT4030,International Accounting,
Business Option,MGT4190,Strategic Quality Management and Competitiveness,
Business Option,MGT4191,The Entrepreneurship Forum,
Business Option,MGT4192,Impact Speaker Series Forum,
Business Option,MGT4193,"Servant Leadership, Values & Systems",
Business Option,MGT4194,Social Enterprise and Entrepreneurship,
Business Option,MGT4303,Personal Selling and Sales Management,
Business Option,MGT4304,Strategic Brand Management,
Business Option,MGT4307,Strategic Marketing,
Business Option,MGT4335,International Marketing,
Business Option,MGT4610,"Law, Management, and Economics",
Business Option,MGT4670,Entrepreneurship,
Free Electives,Free Electives,SELECT,9
Free Electives,Total Credit Hours,122
