Category,Course Code,Course Name,Credits
Wellness,APPH1040,Scientific Foundations of Health,2
Wellness,orAPPH1050,The Science of Physical Activity and Health,2
Wellness,orAPPH1060,Flourishing: Strategies for Well-being and Resilience,2
Core A - Essential Skills,ENGL1101,English Composition I,3
Core A - Essential Skills,ENGL1102,English Composition II,3
Core A - Essential Skills,MATH1552,Integral Calculus,4
Core B - Institutional Options,CS1301,Introduction to Computing,3
Core C - Humanities,Any HUM,SELECT,6
"Core D - Science, Math, & Technology",PHYS2211,Introductory Physics I,4
"Core D - Science, Math, & Technology",Lab Science,4
"Core D - Science, Math, & Technology",MATH1551,Differential Calculus,2
"Core D - Science, Math, & Technology",MATH1554,Linear Algebra,4
"Core D - Science, Math, & Technology",orMATH1564,Linear Algebra with Abstract Vector Spaces,4
Core E - Social Sciences,Select one of the following:,SELECT,3
Core E - Social Sciences,HIST2111,The United States to 1877,3
Core E - Social Sciences,HIST2112,The United States since 1877,3
Core E - Social Sciences,INTA1200,American Government in Comparative Perspective,3
Core E - Social Sciences,POL1101,Government of the United States,3
Core E - Social Sciences,PUBP3000,American Constitutional Issues,3
Core E - Social Sciences,PSYC1101,General Psychology,3
Core E - Social Sciences,Any SS,SELECT,6
Core F - Courses Related to Major,Lab Science,4
Core F - Courses Related to Major,CS1100,Freshman Leap Seminar,1
Core F - Courses Related to Major,CS1331,Introduction to Object Oriented Programming,3
Core F - Courses Related to Major,CS1332,Data Structures and Algorithms for Applications,3
Core F - Courses Related to Major,CS2050,Introduction to Discrete Mathematics for Computer Science,3
Core F - Courses Related to Major,orCS2051,Honors - Induction to Discrete Mathematics for Computer Science,3
Core F - Courses Related to Major,MATH2550,Introduction to Multivariable Calculus,2
Major Requirements,CS2340,Objects and Design,3
Major Requirements,Select one for Professionalism/Ethics requirement:,SELECT,3
Major Requirements,CS3001,"Computing, Society, and Professionalism",3
Major Requirements,CS4001,"Computing, Society, and Professionalism",3
Major Requirements,CS4002,Robots and Society,3
Major Requirements,CS4003,"AI, Ethics, and Society",3
Major Requirements,CS4726,"Privacy, Technology, Policy, and Law",3
Major Requirements,SLS3110,Technology and Sustainable Community Development,3
Junior Design Options (Capstone),Junior Design Option,SELECT,6
Concentration,CS2110,Computer Organization and Programming,4
Concentration,CS3510,Design and Analysis of Algorithms,3
Concentration,orCS3511,"Design and Analysis of Algorithms, Honors",3
Concentration,CS4510,Automata and Complexity Theory,3
Concentration,CS4540,Advanced Algorithms,3
Concentration,MATH3406,A Second Course in Linear Algebra,3
Concentration,PSYC2015,Research Methods,4
Concentration,CS3750,Human Computer Interface Design and Evaluation,3
Concentration,orCS3751,Introduction to User Interface Design,3
Concentration,Select two of the following for Human-Centered Technlogy:,SELECT,6
Concentration,CS3790,Introduction to Cognitive Science,
Concentration,CS4660,Introduction to Educational Technology,
Concentration,CS4460,Introduction to Information Visualization,
Concentration,CS4470,Introduction to User Interface Software,
Concentration,CS4472,Design of Online Communities,
Concentration,CS4605,Mobile and Ubiquitous Computing,
Concentration,CS4745,Information and Communication Technologies and Global Development,
Concentration,Select one of the following for Social/Behavioral Science for Computing:,SELECT,3
Concentration,PSYC2210,Social Psychology,3
Concentration,PSYC2760,Human Language Processing,3
Concentration,PSYC3040,Sensation and Perception,3
Concentration,Select one of the following for Advanced Mathematics:,SELECT,3
Concentration,MATH4022,Introduction to Graph Theory,3
Concentration,MATH4150,Introduction to Number Theory,3
Concentration,MATH4032,Combinatorial Analysis,3
Other Required Courses,MATH3012,Applied Combinatorics,3
Other Required Courses,Select one of the following:,SELECT,3
Other Required Courses,MATH3215,Introduction to Probability and Statistics,3
Other Required Courses,MATH3670,Probability and Statistics with Applications,3
Other Required Courses,CEE3770,Statistics and Applications,3
Other Required Courses,ISYE3770,Statistics and Applications,3
Other Required Courses,orISYE2027&ISYE2028,Probability with Applicationsand Basic Statistical Methods,3
Free Electives,Free Electives,SELECT,10
Free Electives,Total Credit Hours,126
