Category,Course Code,Course Name,Credits
Wellness Requirement,APPH1040,Scientific Foundations of Health,2
Wellness Requirement,orAPPH1050,The Science of Physical Activity and Health,2
Wellness Requirement,orAPPH1060,Flourishing: Strategies for Well-being and Resilience,2
Institutional Priority,CS1301,Introduction to Computing,3
Mathematics and Quantitative Skills,MATH1552,Integral Calculus,4
Political Science and U.S. History,HIST2111,The United States to 1877,3
"Arts, Humanities, and Ethics",Any HUM,SELECT,3
"Arts, Humanities, and Ethics",Any LMC HUM,SELECT,3
Communicating in Writing,ENGL1101,English Composition I,3
Communicating in Writing,ENGL1102,English Composition II,3
"Technology, Mathematics, and Sciences",Lab Science,8
"Technology, Mathematics, and Sciences",MATH1551,Differential Calculus,2
"Technology, Mathematics, and Sciences",MATH1554,Linear Algebra,4
"Technology, Mathematics, and Sciences",orMATH1564,Linear Algebra with Abstract Vector Spaces,4
Social Sciences,PSYC1101,General Psychology,3
Social Sciences,Any SS,SELECT,6
Field of Study,CS1331,Introduction to Object Oriented Programming,3
Field of Study,CS1332,Data Structures and Algorithms for Applications,3
Field of Study,CS2050,Introduction to Discrete Mathematics for Computer Science,3
Field of Study,CS2340,Objects and Design,3
Field of Study,LMC2700,Introduction to Computational Media,3
Field of Study,MATH2550,Introduction to Multivariable Calculus,2
Major Requirement,CS2261,Media Device Architectures,4
Major Requirement,CS4001,"Computing, Society, and Professionalism",3
Major Requirement,orCS4726,"Privacy, Technology, Policy, and Law",3
Major Requirement,orSLS3110,Technology and Sustainable Community Development,3
Junior Design Option (Capstone),Junior Design Option,SELECT,6
People Requirements,PSYC2015,Research Methods,4
People Requirements,CS3750,Human Computer Interface Design and Evaluation,3
People Requirements,Social/Behavioral Science (select one):,3
People Requirements,PSYC2210,Social Psychology,
People Requirements,PSYC2760,Human Language Processing,
People Requirements,PSYC3040,Sensation and Perception,
People Requirements,Human-Centered Techology (select two):,6
People Requirements,CS3790,Introduction to Cognitive Science,
People Requirements,CS4460,Introduction to Information Visualization,
People Requirements,CS4470,Introduction to User Interface Software,
People Requirements,CS4472,Design of Online Communities,
People Requirements,CS4605,Mobile and Ubiquitous Computing,
People Requirements,CS4660,Introduction to Educational Technology,
People Requirements,CS4745,Information and Communication Technologies and Global Development,
Games Requirements,LMC2410,Introduction to Game Studies,3
Games Requirements,LMC4710,Game Studio,3
Games Requirements,CS3600,Introduction to Artificial Intelligence,3
Games Requirements,Design course:,3
Games Requirements,LMC2730,Constructing the Moving Image,
Games Requirements,LMC3710,Principles of Interaction Design,
Games Requirements,Game Design courses:,9
Games Requirements,LMC4720,Interactive Narrative,
Games Requirements,LMC4725,Games Design as a Cultural Practice,
Games Requirements,LMC4730,Experimental Digital Art,
Games Requirements,LMC4731,Game AI,
Games Requirements,CM or Media Courses,6
Games Requirements,LMC2400,Introduction to Media Studies,
Games Requirements,LMC2500,Introduction to Film,
Games Requirements,LMC3206,Communication and Culture,
Games Requirements,LMC3314,Technologies of Representation,
Games Requirements,LMC3406,Video Production,
Games Requirements,LMC3402,Graphic and Visual Design,
Games Requirements,"Any LMC 27XX, 37XX, 47XX, 325X",SELECT,
Free Electives,Free Electives,SELECT,2
Free Electives,Total Credit Hours,122
